Charecter,CODE,Frequency
" ",111,379
"e",000,202
"t",1100,162
"o",1011,157
"i",1010,153
"a",1000,151
"n",0111,142
"s",0110,134
"r",0010,110
"h",11011,103
"l",10011,85
"d",01011,66
"f",01001,63
"c",00111,58
"u",110101,53
"g",100100,33
"y",010101,33
"m",010100,32
"p",010001,31
"w",010000,28
",",001100,26
".",1101000,20
"v",1001011,17
"b",0011010,13
"T",10010100,8
"I",00110110,7
"k",110100101,6
"’",100101010,4
"F",1101001111,3
"x",1101001110,3
"B",1101001101,3
"q",1101001100,3
"-",1101001001,3
"‘",1101001000,3
"S",1001010110,2
"E",0011011101,2
"2",100101011111,1
"9",100101011110,1
"D",10010101110,1
"j",00110111111,1
"H",00110111110,1
"R",00110111101,1
"…",00110111100,1
"­",00110111001,1
"W",00110111000,1
